2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] done | time=81ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=83ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] done | time=62ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] done | time=87ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [tests/test] done | time=87ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] done | time=59ms
2022.03.09 07:06:11 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.03.09 07:06:11 INFO  web[][o.s.s.p.Platform] WebServer is operational
2022.03.09 09:36:25 INFO  web[][o.a.c.h.Http11Processor] Error parsing HTTP request header
 Note: further occurrences of HTTP header parsing errors will be logged at DEBUG level.
java.lang.IllegalArgumentException: Invalid character found in method name. HTTP method names must be tokens
	at org.apache.coyote.http11.Http11InputBuffer.parseRequestLine(Http11InputBuffer.java:426)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:687)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:66)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:868)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1459)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.base/java.lang.Thread.run(Thread.java:829)
